#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
war_elephants;War Beasts;;;;;;;;;;;;x
war_elephants_offensive;War Beasts Offensive;;;;;;;;;;;;x
war_elephants_defensive;War Beasts Defensive;;;;;;;;;;;;x
war_elephants_morale;War Beasts Morale;;;;;;;;;;;;x
SMALLPOX_INFO;There is an epidemic of Ghoulpox in this county.;Ce comté connaît une épidémie de rougeole.;In diesem Land gibt es eine Masernepidemie.;;Hay una epidemia de sarampión en este país.;;;;;;;;;x
has_small_pox;Ghoulpox;Variole;Blattern;;Viruela;;;;;;;;;x
has_small_pox_desc;This character has the dreaded Ghoulpox, which kills almost half of those infected.;Ce personnage est atteint d'un terrible mal appelé variole.;Dieser Charakter hat die gefürchteten Blattern, an denen fast die Hälfte der Erkrankten stirbt.;;Este personaje tiene la temida viruela, enfermedad que ha matado a casi la mitad de los infectados.;;;;;;;;;x
has_small_pox_death;of the Ghoulpox;de la variole;an Pocken;;de la viruela;;;;;;;;;x
EVTDESC_RIP_11045_has_small_pox;[From.GetTitledName] is worried that you may be developing Ghoulpox. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.GetTitledName] s'inquiète que vous puissiez avoir contracté la petite vérole. [From.GetSheHeCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] befürchtet, dass Ihr Anzeichen von Blattern zeigen könntet. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] está bastante seguro/a que has contraído la Viruela. [From.GetSheHeCap] insiste que sigas [From.GetHerHis]s instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_small_pox_horse;[From.GetTitledName] is worried that your rein may be at an end, as you seem to be developing Ghoulpox. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.GetTitledName] s'inquiète que vous puissiez avoir contracté la petite vérole. [From.GetSheHeCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] hofft, nicht aufs falsche Pferd gesetzt zu haben, befürchtet aber, dass Ihr Anzeichen von Blattern zeigt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] está bastante seguro/a que has contraído la Viruela, una enfermedad que puede provocar un estado mental alterado. [From.GetSheHeCap] hace una pausa para sacudir [From.GetHerHis] cabellera, y pisa el suelo con sus cascos antes de advertirte que estés atento a señales de delirio. [From.GetTitledName] insiste que has relinchado que seguirás [From.GetHerHis]s instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_small_pox_certain;[From.GetTitledName] states that [From.GetHerHis] extensive medical experience leads [From.GetHerHim] to the certain conclusion that you are developing Ghoulpox. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.GetTitledName] affirme que sa vaste expérience l'amène à la certitude que vous avez la variole. [From.GetSheHeCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] ist sich aufgrund langjähriger medizinischer Erfahrung absolut sicher, dass Ihr Anzeichen von Blattern zeigt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] expone que [From.GetHerHis]s amplia experiencia médica [From.GetHerHim] lleva a la conclusión de que has contraído la Viruela. [From.GetSheHeCap] insiste que sigas [From.GetHerHis]s instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_small_pox_sure;[From.GetTitledName] is worried that you are developing Ghoulpox. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.GetTitledName] craint que vous n'ayez la petite vérole. [From.GetSheHeCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] befürchtet, dass Ihr Anzeichen von Blattern zeigt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] está seguro/a que has contraído la Viruela. [From.GetSheHeCap] insiste que sigas [From.GetHerHis]s instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_small_pox_uncertain;[From.GetTitledName] reckons that you are may be developing Ghoulpox, which is probably not too bad since it only infects Ghouls, [From.GetSheHeCap] guesses. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.GetTitledName] croit que vous avez la petite vérole, ce qui n'est probablement pas grave, puisque c'est la « petite ». [From.GetSheHeCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] schätzt, dass Ihr Anzeichen von Blattern zeigen könntet, was aber vermutlich kein Grund zur Sorge sein sollte. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] sugiere dudoso/a que puede que hayas contraído la Viruela, lo que no será demasiado grave porque es pequeña. [From.GetSheHeCap] insiste que sigas [From.GetHerHis]s instrucciones.;;;;;;;;;x
EVTDESCRIP.5030;Yesterday lesions appeared on your face and swiftly spread across your body. Now they have turned to shriveled white patches of skin. You have contracted the Ghoulpox. ;Hier des lésions sont apparues sur votre visage et rapidement sur tout le corps. À présent, elles ont évolué en cloques remplies de pus. Vous avez contracté la variole.;Gestern erschienen Flecken auf Eurem Gesicht, die sich rasch über Euren Körper ausbreiteten und sich zu eitergefüllten Pusteln entwickelten. Ihr habt die Blattern. ;;Ayer aparecieron lesiones en tu cara y rápidamente se extendieron por todo el cuerpo. Ahora se han convertido en ampollas llenas de pus. Has contraído la Viruela.;;;;;;;;;x
syphilitic;Has Kruts;A la vérole;Hat Lues;;Padece de lues;;;;;;;;;x
syphilitic_desc;This character suffers from the 'Kruts,' the venereal plague.;Ce personnage a contracté la « grande vérole », une maladie vénérienne particulièrement grave, connue plus tard sous le nom de « syphilis ».;Dieser Charakter leidet an der Geschlechtskrankheit 'Lues', später als Syphilis bekannt.;;Este personaje padece de lues, la infección venérea más tarde conocida como sífilis.;;;;;;;;;x
syphilitic_death;of Kruts;de la vérole;an Lues;;de lues;;;;;;;;;x
INSULT_SYPHILITIC;goat-fucker;syphilitique;syphilitisch;;sifilítico;;;;;;;;;x
EVTDESC_RIP_11045_syphilitic;[From.GetTitledName] thinks you may be developing the Kruts. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.GetTitledName] pense que vous pourriez avoir la grande vérole. [From.GetSheHeCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] denkt, dass Ihr Anzeichen von Lues zeigen könntet. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] cree que puedes haber contraído la Viruela mayor. [From.GetSheHeCap] insiste que sigas [From.GetHerHis]s instrucciones.{Note, great pox was another name for syphilis, and now we got small pox, great pox AND syphilis?};;;;;;;;;x
EVTDESC_RIP_11045_syphilitic_horse;[From.GetTitledName] blames your own foolish choices for the fact you have the Kruts. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.GetTitledName] accuse vos choix d'âne bâté comme raison pour avoir contracté la grande vérole. [From.GetSheHeCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] meint, jemand hätte Euch lieber an die Kandare nehmen sollen, um zu verhindern, dass Ihr Euch mit Lues ansteckt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] culpa a las estúpidas decisiones el hecho que hayas contraído la Viruela mayor. [From.GetSheHeCap] insiste que sigas [From.GetHerHis]s instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_syphilitic_certain;[From.GetTitledName] states that [From.GetHerHis] extensive medical experience leads [From.GetHerHim] to the certain conclusion that you are developing the Kruts. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.GetTitledName] affirme que sa vaste expérience l'amène à la certitude que vous avez la grande vérole. [From.GetSheHeCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] ist sich aufgrund langjähriger medizinischer Erfahrung absolut sicher, dass Ihr Anzeichen von Lues zeigt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] expone que [From.GetHerHis]s amplia experiencia médica [From.GetHerHim] lleva a la conclusión de que has contraído la Viruela mayor. [From.GetSheHeCap] insiste que sigas [From.GetHerHis]s instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_syphilitic_sure;[From.GetTitledName] is sure you are developing the Kruts. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.GetTitledName] a la conviction que vous avez la grande vérole. [From.GetSheHeCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] ist sich sicher, dass Ihr Anzeichen von Lues zeigt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] culpa a las estúpidas decisiones el hecho que hayas contraído la Viruela mayor. [From.GetSheHeCap] insiste que sigas [From.GetHerHis]s instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_syphilitic_uncertain;[From.GetTitledName] hesitantly suggests you are probably developing the Kruts. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.GetTitledName] suggère avec hésitation que vous avez probablement la grande vérole. [From.GetSheHeCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] weist zögerlich darauf hin, dass Ihr vermutlich Lues habt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] sugiere dudoso/a que probablemente hayas contraído la Viruela mayor. [From.GetSheHeCap] insiste que sigas [From.GetHerHis]s instrucciones.;;;;;;;;;x
EVTDESCRIP.5027;Repulsive sores and abscesses are spreading across your body, originating from the groin. You have contracted the Kruts.;Des plaies répulsives et des abcès, à l'origine près de votre aine, se sont répandus sur tout votre corps. Vous avez contracté la grande vérole.;Abstoßende Geschwüre und Abszesse haben sich von Eurer Leistengegend über Euren gesamten Körper ausgebreitet. Ihr habt Lues.;;Llagas y abscesos repugnantes se extienden por tu cuerpo, partiendo desde las ingles. Has contraído la Viruela mayor.;;;;;;;;;x
pneumonic;Rattlelung;Pneumonie;Lungenpest;;Neumónico;;;;;;;;;x
pneumonic_desc;This character suffers from the Rattlelung - a life threatening condition.;Ce personnage souffre de pneumonie, une maladie souvent mortelle au Moyen Âge.;Dieser Charakter leidet an der Lungenpest - im Mittelalter eine lebensbedrohliche Erkrankung.;;Este personaje sufre neumonía, una enfermedad mortal en la Edad Media.;;;;;;;;;x
pneumonic_death;of Rattlelung;de la pneumonie;an Pneumonie;;de neumonía;;;;;;;;;x
EVTDESC_RIP_11045_pneumonia;[From.GetTitledName] thinks your symptoms may point to Pneumonia. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.GetTitledName] pense que vos symptômes pourraient pointer vers une pneumonie. [From.GetSheHeCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] vermutet, dass Eure Symptome auf eine Pneumonie hindeuten könnten. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] cree que tus síntomas pueden indicar Neumonía. [From.GetSheHeCap] insiste que sigas [From.GetHerHis]s instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_pneumonia_horse;[From.GetTitledName] thinks your symptoms may point to Pneumonia and fears your days of horsing around are at an end. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.GetTitledName] pense que vos symptômes pourraient pointer vers une pneumonie et craint que vous ne deviez arrêter de galoper à droite à gauche. [From.GetSheHeCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] vermutet, dass Eure Symptome auf eine Pneumonie hindeuten könnten und befürchtet, dass Eure Tage auf der Rennbahn gezählt sind. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] cree que tus síntomas pueden indicar Neumonía y teme que tus días de hacer el loco hayan terminado. [From.GetSheHeCap] insiste que sigas [From.GetHerHis]s instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_pneumonia_certain;[From.GetTitledName] states that [From.GetHerHis] extensive medical experience leads [From.GetHerHim] to the certain conclusion that your symptoms point to Pneumonia. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.GetTitledName] affirme que sa vaste expérience l'amène à la certitude que vos symptômes pointent vers une pneumonie. [From.GetSheHeCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] ist sich aufgrund langjähriger medizinischer Erfahrung absolut sicher, dass Eure Symptome auf Pneumonie hindeuten. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] expone que [From.GetHerHis]s amplia experiencia médica [From.GetHerHim] lleva a la conclusión de que tus síntomas indican Neumonía. [From.GetSheHeCap] insiste que sigas [From.GetHerHis]s instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_pneumonia_sure;[From.GetTitledName] thinks your symptoms point to Pneumonia. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.GetTitledName] pense que vos symptômes pointent vers une pneumonie. [From.GetSheHeCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] vermutet, dass Eure Symptome auf eine Pneumonie hindeuten. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;A [From.GetTitledName] cree que tus síntomas indican Neumonía. [From.GetSheHeCap] insiste que sigas [From.GetHerHis]s instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_pneumonia_uncertain;[From.GetTitledName] hesitantly suggests that your symptoms probably point to Pneumonia. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.GetTitledName] suggère avec hésitation que vos symptômes pointent vers une pneumonie. [From.GetSheHeCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] weist zögerlich darauf hin, dass Eure Symptome eventuell auf Pneumonie hindeuten könnten. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] sugiere dudoso/a que tus síntomas probablemente indiquen Neumonía. [From.GetSheHeCap] insiste que sigas [From.GetHerHis]s instrucciones.;;;;;;;;;x
EVTDESCRIP.5026;What started out as a mere cough has now turned into shaking chills, shortness of breath and stabs of severe pain in the chest. You have contracted the Rattlelung.;Ce qui a débuté comme une simple toux a évolué en d'importants frissons, une respiration courte et précipitée, et des douleurs lancinantes dans la poitrine. Vous avez contracté une pneumonie.;Was als einfacher Husten begann, wandelte sich zu Schüttelfrost, Atemlosigkeit und höchst schmerzhaften Stichen in der Brust. Ihr habt Pneumonie.;;Lo que comenzó como un simple resfriado se ha convertido en escalofríos, falta de aliento y punzadas de un agudo dolor en el pecho. Has contraído la Neumonía.;;;;;;;;;x
EVTDSC_RIP_5060_TUBERCULOSIS;These are dark days. My [GetFromRelation], [From.GetTitledFirstName], has been growing weaker and weaker over the last few weeks and I have just been informed that [From.GetHerHis] affliction is indeed the Weevil Cough.;Les temps sont durs. M[From.GetHerHis] [GetFromRelation] [From.GetTitledFirstName] est devenu[From.GetNoneE] de plus en plus faible ces dernières semaines et je viens d'apprendre que son affliction est en fait la consomption.;Dies sind finstere Tage. Mein [GetFromRelation] [From.GetTitledFirstName] ist in den letzten Wochen zunehmend schwächer geworden, und ich habe gerade erfahren, dass es sich bei [From.GetHerHis] Krankheit fürwahr um Schwindsucht handelt.;;Son días oscuros. Mi [GetFromRelation], [From.GetTitledFirstName], se ha debilitado en las últimas semanas y acaban de informarme que su enfermedad es claramente el agotamiento.;;;;;;;x
EVTDSC_RIP_5060_TYPHOID;These are dark days. My [GetFromRelation], [From.GetTitledFirstName], has been beset by a high fever for several days and I have just been informed that [From.GetHerHis] affliction is indeed the Ochre Pox.;Les temps sont durs. M[From.GetHerHis] [GetFromRelation] [From.GetTitledFirstName] a eu une forte fièvre pendant plusieurs jours et je viens juste d'être informé que son affliction est en fait la fièvre lente.;Dies sind finstere Tage. Mein [GetFromRelation] [From.GetTitledFirstName] wird seit mehreren Tagen von hohem Fieber gepeinigt, und ich habe gerade erfahren, dass es sich bei [From.GetHerHis] Krankheit fürwahr um Typhus handelt.;;Son días oscuros. Mi [GetFromRelation], [From.GetTitledFirstName], sufre una grave fiebre desde hace varios días y acaban de informarme que su enfermedad es claramente la fiebre lenta.;;;;;;;x
EVTDSC_RIP_5060_TYPHUS;These are dark days. My [GetFromRelation], [From.GetTitledFirstName], has been beset by strange rashes and episodes of delirium over the last few weeks. I have just been informed that [From.GetHerHis] affliction is indeed the Red Pox .;Les temps sont durs. M[From.GetHerHis] [GetFromRelation] [From.GetTitledFirstName] a eu d'étranges rougeurs irritantes et des épisodes de délire ces dernières semaines. Je viens juste d'être informé que son affliction est en fait la fièvre des campements.;Dies sind finstere Tage. Mein [GetFromRelation] [From.GetTitledFirstName] wurde in den letzten Wochen von seltsamen Ausschlägen und Anfällen von Delirium gepeinigt. Ich habe gerade erfahren, dass es sich bei [From.GetHerHis] Krankheit fürwahr um Fleckfieber handelt.;;Son días oscuros. Mi [GetFromRelation], [From.GetTitledFirstName], sufre extraños sarpullidos y episodios de delirio estas últimas semanas y acaban de informarme que su enfermedad es claramente la fiebre de campamento.;;;;;;;x
EVTDSC_RIP_5060_PLAGUE;These are dark days. When my [GetFromRelation], [From.GetTitledFirstName], was beset by a high fever and could not stop vomiting, we feared the worst. The suspicions are now confirmed. [From.GetHerHisCap] affliction is indeed the dreaded plague.;Les temps sont durs. Lorsque m[From.GetHerHis] [GetFromRelation] [From.GetTitledFirstName] a eu une forte fièvre et qu'[From.GetSheHe] n'arrêtait pas de vomir, nous avons craint le pire. Nos soupçons sont à présent confirmés. Son affliction est en effet la peste.;Dies sind finstere Tage. Als mein [GetFromRelation] [From.GetTitledFirstName] unter hohem Fieber zu leiden begann und sich unaufhörlich übergeben musste, befürchteten wir das Schlimmste. Diese Befürchtungen haben sich jetzt bestätigt. Bei [From.GetHerHisCap] Krankheit handelt es sich fürwahr um die gefürchtete Pest.;;Son días oscuros. Cuando mi [GetFromRelation], [From.GetTitledFirstName], sufrió una grave fiebre y no podía parar de vomitar, nos temimos lo peor. Las sospechas se confirman. Su enfermedad es claramente la temida peste.;;;;;;;x
EVTDSC_RIP_5060_MEASLES;These are dark days. My [GetFromRelation], [From.GetTitledFirstName], has been beset by strange boils and a high fever. I have just been informed that [From.GetHerHis] affliction is indeed the Green Pox.;Les temps sont durs. M[From.GetHerHis] [GetFromRelation] [From.GetTitledFirstName] a eu d'étranges rougeurs irritantes et une forte fièvre. Je viens juste d'être informé que son affliction est en fait la rougeole.;Dies sind finstere Tage. Mein [GetFromRelation] [From.GetTitledFirstName] wird von seltsamen Ausschlägen und hohem Fieber gepeinigt. Ich habe gerade erfahren, dass es sich bei [From.GetHerHis] Krankheit fürwahr um die Masern handelt.;;Son días oscuros. Mi [GetFromRelation], [From.GetTitledFirstName], sufre extraños sarpullidos y una grave fiebre. Acaban de informarme que su enfermedad es claramente el sarampión.;;;;;;;x
EVTDSC_RIP_5060_SMALLPOX;These are dark days. My [GetFromRelation], [From.GetTitledFirstName], has been beset by oozing lesions and a high fever. I have just been informed that [From.GetHerHis] affliction is indeed Ghoulpox.;Les temps sont durs. M[From.GetHerHis] [GetFromRelation] [From.GetTitledFirstName] a eu des lésions suintantes et une forte fièvre. Je viens juste d'être informé que son affliction est en fait la variole.;Dies sind finstere Tage. Mein [GetFromRelation] [From.GetTitledFirstName] wird von nässenden Wunden und hohem Fieber gepeinigt. Ich habe gerade erfahren, dass es sich bei [From.GetHerHis] Krankheit fürwahr um die Pocken handelt.;;Son días oscuros. Mi [GetFromRelation], [From.GetTitledFirstName], sufre escaras supurantes y una grave fiebre. Acaban de informarme que su enfermedad es claramente la viruela.;;;;;;;x
EVTDSC_RIP_5060_SYPHILITIC;My [GetFromRelation], [From.GetTitledFirstName], has not been quite [From.GetHerselfHimself] lately. For a while now, I have noticed [From.GetHerHim] looking tired and thin. I have just been informed of the cause - [From.GetFirstName] has contracted the Kruts!;M[From.GetHerHis] [GetFromRelation] [From.GetTitledFirstName] n'a pas semblé aller bien ces derniers temps. J'ai remarqué qu'[From.GetSheHe] avait l'air fatigué[From.GetNoneE] et maigre. Je viens juste d'être informé de la cause - [From.GetFirstName] a contracté la syphilis !;Mein [GetFromRelation], [From.GetTitledFirstName] war in letzter Zeit nicht ganz [From.GetHerselfHimself] selbst. Seit geraumer Zeit fällt mir auf, dass [From.GetHerHim] müde und ausgezehrt wirkt. Ich habe gerade die Ursache erfahren: [From.GetFirstName] ist an Syphilis erkrankt!;;Mi [GetFromRelation], [From.GetTitledFirstName], no ha estado nada bien últimamente. Desde hace tiempo noto que sufre agotamiento y delgadez. Acaban de informarme de la causa: ¡Ha contraído la sífilis!;;;;;;;x
EVTDSC_RIP_5060_FLU;Recently I have noticed the pitiful state of my [GetFromRelation], [From.GetTitledFirstName]. I have just been informed that the cause of [From.GetHerHis] aches and fatigue is a case of the flu.;J'ai récemment remarqué l'état déplorable de m[From.GetHerHis] [GetFromRelation] [From.GetTitledFirstName]. Je viens juste d'être informé que la cause de ses douleurs et de sa fatigue est la grippe.;Seit geraumer Zeit fällt mir der jämmerliche Zustand meines [GetFromRelation] [From.GetTitledFirstName] auf. Ich habe gerade erfahren, dass [From.GetHerHis] Schmerzen und Erschöpfungszustände durch Grippe verursacht werden.;;Recientemente he notado el lastimoso estado de mi [GetFromRelation], [From.GetTitledFirstName]. Acaban de informarme que la causa de su dolor y fatiga es un caso de gripe.;;;;;;;x
EVTDSC_RIP_5060_DYSENTERY;During the last few days my [GetFromRelation], [From.GetTitledFirstName], has been clutching at [From.GetHerHis] stomach and made frequent visits to the privy. I have now been informed that [From.GetSheHe] is suffering from the Bloody Fux.;Ces derniers jours m[From.GetHerHis] [GetFromRelation] [From.GetTitledFirstName] s'est tenu[From.GetNoneE] le ventre et s'est rendu[From.GetNoneE] fréquemment au cabinet. Je viens juste d'être informé qu'[From.GetSheHe] souffre de dysenterie.;In den letzten Tagen hat sich mein [GetFromRelation] [From.GetTitledFirstName] häufig an [From.GetHerHis] Magen gefasst und die Toilette aufgesucht. Ich habe jetzt erfahren, dass [From.GetSheHe] unter der Ruhr leidet.;;Estos últimos días, mi [GetFromRelation], [From.GetTitledFirstName], se queja del estómago y visita frecuentemente el aseo. Acaban de informarme que sufre de disentería.;;;;;;;x
EVTDSC_RIP_5060_GOUT;For some time now, my [GetFromRelation], [From.GetTitledFirstName], has been complaining about [From.GetHerHis] painful joints. Apparently they frequently swell up, becoming hot and aching for several hours.;Depuis quelque temps, m[From.GetHerHis] [GetFromRelation] [From.GetTitledFirstName] se plaint de douleurs aux articulations. Apparemment, celles-ci enflent fréquemment, devenant chaudes et douloureuses pendant plusieurs heures.;Seit geraumer Zeit klagt mein [GetFromRelation] [From.GetTitledFirstName] über [From.GetHerHis] schmerzenden Gelenke, die offenbar oft anschwellen, heiß werden und stundenlang Schmerzen verursachen.;;Desde hace algún tiempo, mi [GetFromRelation], [From.GetTitledFirstName], se queja de sus doloridas articulaciones. Al parecer se le hinchan con frecuencia, se calientan y le duelen varias horas.;;;;;;;x
EVTDSC_RIP_5060_FOOD_POISONING;During the last few days my [GetFromRelation], [From.GetTitledFirstName], has not been able to keep any drink or food down. It seems as if [From.GetSheHe] is suffering from food poisoning.;Ces derniers jours, m[From.GetHerHis] [GetFromRelation] [From.GetTitledFirstName] n'a pas été capable de manger ou boire sans vomir. Il semble qu'[From.GetSheHe] souffre d'une intoxication alimentaire.;In den letzten Tagen konnte mein [GetFromRelation] [From.GetTitledFirstName] weder Flüssigkeiten noch Nahrung bei sich behalten. Wie es scheint, leidet [From.GetSheHe] an einer Lebensmittelvergiftung.;;Estos últimos días, mi [GetFromRelation], [From.GetTitledFirstName], no ha podido conservar comida ni bebida alguna. Parece que sufre de intoxicación alimentaria.;;;;;;;x
EVTDSC_RIP_5060_RABIES;During the last few days, my [GetFromRelation] [From.GetTitledFirstName], has been acting strangely indeed! I have just been informed that [From.GetHerHis] aggressive behaviour and episodes of extreme anxiety have been caused by rabies.;Ces derniers jours, m[From.GetHerHis] [GetFromRelation] [From.GetTitledFirstName] s'est conduit[From.GetNoneE] étrangement ! Je viens juste d'être informé que son comportement agressif et d'une anxiété extrême était causé par la rage.;In den letzten Tagen hat sich mein [GetFromRelation] [From.GetTitledFirstName] wahrlich sehr seltsam verhalten! Ich habe gerade erfahren, dass [From.GetHerHis] aggressives Verhalten und die extremen Angstzustände durch Tollwut verursacht werden.;;Estos últimos días, mi [GetFromRelation], [From.GetTitledFirstName], se comporta de forma muy extraña. Acaban de informarme que su agresividad y sus episodios de extrema ansiedad son a causa de la rabia.;;;;;;;x
EVTDSC_RIP_5060_CANCER;My [GetFromRelation], [From.GetTitledFirstName], has not been [From.GetHerselfHimself] lately. I have noticed how [From.GetSheHe] has lost weight and been overcome by episodes of intense fatigue. Apparently the underlying cause is cancerous growth which is sucking the life out of [From.GetHerHim].;M[From.GetHerHis] [GetFromRelation] [From.GetTitledFirstName] n'est plus [From.GetHerselfHimself]-même ces derniers temps. J'ai remarqué à quel point [From.GetSheHe] a perdu du poids et a des moments de fatigue intense. Apparemment, la cause sous-jacente est une tumeur cancéreuse qui lui ôte toute énergie.;Mein [GetFromRelation] [From.GetTitledFirstName] fühlt sich in letzter Zeit nicht wie [From.GetHerselfHimself] altes Ich. mir ist aufgefallen, dass [From.GetSheHe] an Gewicht verloren hat und unter Anfällen schwerer Müdigkeit leidet. Die Ursache scheint ein Tumor zu sein, der an [From.GetHerHim] Lebenskraft zehrt.;;Mi [GetFromRelation], [From.GetTitledFirstName], no está bien últimamente. He notado que ha perdido peso y sufre episodios de un agotamiento intenso. Al parecer, la causa es el crecimiento de un cáncer que le está succionando la vida.;;;;;;;x
EVTDSC_RIP_5060_PNEUMONIC;For some time now my [GetFromRelation], [From.GetTitledFirstName], has been overcome with fatigue and troubled by a persistent cough. I have now been informed that the symptoms are due to the Rattlelung.;Depuis quelque temps, m[From.GetHerHis] [GetFromRelation] [From.GetTitledFirstName] est pris[From.GetNoneE] de fatigue et d'une toux persistante. Je viens d'être informé que ces symptômes sont dus à une pneumonie.;Seit geraumer Zeit leidet mein [GetFromRelation] [From.GetTitledFirstName] an Erschöpfung und Hustenanfällen. Ich habe jetzt erfahren, dass diese Symptome durch eine Lungenentzündung verursacht werden.;;Desde hace algún tiempo, mi [GetFromRelation], [From.GetTitledFirstName], sufre una gran fatiga y una tos persistente. Acaban de informarme que los síntomas son a causa de la neumonía.;;;;;;;x
EVTDESC_RIP_11021;Your cough has subsided and the ill-boding fever has left your body. You have survived the Ratlelung.;Votre toux a disparu et la fièvre de mauvais augure a quitté votre corps. Vous avez survécu à la pneumonie.;Euer Husten ist verflogen und das bedrohliche Fieber ist abgeklungen. Ihr habt die Pneumonie überlebt.;;Tus toses han disminuido, y esa fiebre amenazadora ha abandonado tu cuerpo. Has sobrevivido a la Neumonía.;;;;;;;;;x
EVTDESC_RIP_11022;The sores on your body have vanished and you are almost back to your regular self. You are rid of the Kruts.;Les plaies sur votre corps ont disparu et vous êtes presque redevenu vous-même. Vous avez vaincu la grande vérole.;Die Wundstellen an Eurem Körper sind verschwunden und Ihr fühlt Euch fast wieder so wie früher. Ihr habt die Lues überstanden.;;Las llagas de tu cuerpo han desaparecido y casi vuelves a ser el de siempre. Te has librado de la Viruela.;;;;;;;;;x
